Italian,English
non,Not
che,That
la,there
il,The
un,a
a,to
una,a
mi,me
ho,I have
l',L'
le,the
ti,you
i,the
con,with
cosa,What
se,self
io,I
come,as
da,from
ci,There
no,no
questo,This
qui,here
e',And'
hai,you have
del,of the
bene,Well
sì,Yes
me,myself
più,more
mio,my
c',there
lei,she
solo,Alone
te,you
era,era
gli,The
tutto,All
della,from the
così,Like this
mia,my
questa,this
fare,Do
ora,Now
fatto,Done
essere,to be
so,I know
mai,never
chi,who
o,or
alla,at the
tutti,everyone
molto,Very
dei,of the
anche,Also
detto,said
quello,that
niente,Nothing
lui,he
voglio,I want
abbiamo,we have
stato,state
nel,In the
suo,his
dove,Where
posso,I can
prima,Before
allora,At that time
siamo,we are
uno,one
un',a
sua,her
tuo,your
hanno,they have
noi,we
sta,is
fa,does
vuoi,you want
ancora,Still
